league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,home_possession,home_formation,home_opp_formation,away_possession,away_formation,away_opp_formation
3,2021,17516,2021-08-13 18:30:00,130,117,Borussia Monchengladbach,Bayern Munich,BAY,BMG,1,1.9867,1,2.91794,2.91794,0.9301700000000002,8.555555555555555,17,1,0.8086,1,1.98777,1.98777,-0.9301700000000002,11.06060606060606,7,0.35,4-2-3-1,4-2-3-1,0.65,4-2-3-1,4-2-3-1
3,2021,17517,2021-08-14 13:30:00,262,135,Arminia Bielefeld,Freiburg,FRE,ARM,1,2.2525,0,1.63663,1.63663,1.061598,8.45,4,1,0.5164,0,0.575032,0.575032,-1.061598,9.416666666666666,5,0.44,04/04/2002,03/04/2003,0.56,03/04/2003,04/04/2002
3,2021,17518,2021-08-14 13:30:00,121,120,Augsburg,Hoffenheim,HOF,AUG,3,2.8663999999999996,4,3.44423,3.44423,2.709572,10.3,8,0,0.0863,0,0.734658,0.734658,-2.709572,19.846153846153847,9,0.46,4-2-3-1,4-2-3-1,0.54,4-2-3-1,4-2-3-1
3,2021,17519,2021-08-14 13:30:00,133,267,Stuttgart,Greuther Furth,GRE,STU,0,0.1551,1,1.31466,1.31466,-2.9450200000000004,25.3125,3,3,2.7746999999999997,5,4.25968,4.25968,2.9450200000000004,10.736842105263158,14,0.67,03/04/2003,03/05/2002,0.33,03/05/2002,03/04/2003
3,2021,17520,2021-08-14 13:30:00,240,119,Union Berlin,Bayer Leverkusen,LEV,UNI,1,1.6247,1,0.7943,0.7943,0.350459,7.166666666666667,5,1,0.9779,1,0.443841,0.443841,-0.350459,18.208333333333332,6,0.33,05/03/2002,4-2-3-1,0.67,4-2-3-1,05/03/2002
3,2021,17521,2021-08-14 13:30:00,131,268,Wolfsburg,Bochum,BOC,WOL,0,0.0916,0,0.297792,0.297792,-1.732178,27.181818181818183,2,3,2.8513,1,2.78774,2.02997,1.732178,9.764705882352942,9,0.61,4-2-3-1,04/03/2003,0.39,04/03/2003,4-2-3-1
3,2021,17522,2021-08-14 16:30:00,129,132,Borussia Dortmund,Eintracht Frankfurt,EIN,DOR,0,0.5086,2,1.36709,1.36709,-1.4709,13.258064516129032,1,3,2.3218,5,2.83799,2.83799,1.4709,15.642857142857142,17,0.6,4-2-3-1,03/04/2003,0.4,03/04/2003,4-2-3-1
3,2021,17523,2021-08-15 13:30:00,125,136,Mainz,RB Leipzig,RBL,MAI,0,0.8453,0,0.841814,0.841814,-0.4292760000000001,4.608695652173913,6,3,1.8362,1,1.27109,1.27109,0.4292760000000001,16.72222222222222,2,0.28,3-4-1-2,4-2-3-1,0.72,4-2-3-1,3-4-1-2
3,2021,17524,2021-08-15 15:30:00,134,122,Koln,Hertha Berlin,HER,COL,0,1.7875,1,2.1078,2.1078,0.4821300000000001,14.235294117647058,4,3,0.9514,3,1.62567,1.62567,-0.4821300000000001,5.151515151515151,8,0.6,04/04/2002,04/03/2003,0.41,04/03/2003,04/04/2002
3,2021,17525,2021-08-20 18:30:00,136,133,RB Leipzig,Stuttgart,STU,RBL,0,0.2781,0,0.958579,0.958579,-1.149921,9.863636363636363,3,3,2.5962,4,2.86627,2.1085,1.149921,9.321428571428571,19,0.52,4-2-3-1,03/04/2003,0.48,03/04/2003,4-2-3-1
