league,season,team,players_used,age,poss,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,url
GER-Bundesliga,2122,Arminia Bielefeld,26,25.8,40.7,34,374,3060,34,26,18,44,24,2,2,55,2,0.76,0.53,1.29,0.71,1.24,/en/squads/247c4b67/2021-2022/Arminia-Bielefeld-Stats
GER-Bundesliga,2122,Augsburg,26,26.6,41.5,34,374,3060,34,39,26,65,34,5,5,74,0,1.15,0.76,1.91,1.0,1.76,/en/squads/0cdc4311/2021-2022/Augsburg-Stats
GER-Bundesliga,2122,Bayern Munich,30,26.8,64.5,34,374,3060,34,92,70,162,87,5,5,36,2,2.71,2.06,4.76,2.56,4.62,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats
GER-Bundesliga,2122,Bochum,28,28.0,44.7,34,374,3060,34,37,22,59,33,4,6,55,2,1.09,0.65,1.74,0.97,1.62,/en/squads/b42c6323/2021-2022/Bochum-Stats
GER-Bundesliga,2122,Borussia Dortmund,33,25.9,59.2,34,374,3060,34,81,57,138,70,11,11,63,1,2.38,1.68,4.06,2.06,3.74,/en/squads/add600ae/2021-2022/Dortmund-Stats
GER-Bundesliga,2122,Eintracht Frankfurt,27,26.2,49.6,34,374,3060,34,43,33,76,42,1,2,61,1,1.26,0.97,2.24,1.24,2.21,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats
GER-Bundesliga,2122,Freiburg,26,26.5,49.0,34,374,3060,34,55,37,92,50,5,6,34,0,1.62,1.09,2.71,1.47,2.56,/en/squads/a486e511/2021-2022/Freiburg-Stats
GER-Bundesliga,2122,Borussia Monchengladbach,26,26.0,54.0,34,374,3060,34,54,38,92,49,5,7,67,1,1.59,1.12,2.71,1.44,2.56,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats
GER-Bundesliga,2122,Greuther Furth,29,25.9,43.6,34,374,3060,34,26,15,41,21,5,5,61,0,0.76,0.44,1.21,0.62,1.06,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats
GER-Bundesliga,2122,Hertha Berlin,36,26.7,43.7,34,374,3060,34,35,23,58,32,3,3,62,2,1.03,0.68,1.71,0.94,1.62,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats
GER-Bundesliga,2122,Hoffenheim,32,26.1,53.2,34,374,3060,34,55,42,97,55,0,0,75,0,1.62,1.24,2.85,1.62,2.85,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats
GER-Bundesliga,2122,Koln,26,27.0,54.8,34,374,3060,34,52,40,92,51,1,1,68,1,1.53,1.18,2.71,1.5,2.68,/en/squads/bc357bf7/2021-2022/Koln-Stats
GER-Bundesliga,2122,Bayer Leverkusen,29,24.4,53.7,34,374,3060,34,76,58,134,74,2,6,66,2,2.24,1.71,3.94,2.18,3.88,/en/squads/c7a9f859/2021-2022/Leverkusen-Stats
GER-Bundesliga,2122,Mainz,28,26.2,46.5,34,374,3060,34,49,36,85,45,4,4,62,4,1.44,1.06,2.5,1.32,2.38,/en/squads/a224b06a/2021-2022/Mainz-05-Stats
