,home_team,away_team,predicted_score,score_probability,second_most_likely_score,second_score_probability,third_most_likely_score,third_score_probability,expected_home_goals,expected_away_goals
0,Augsburg,Bayer Leverkusen,1-1,0.1125,1-2,0.105,0-1,0.0813,1.1444,1.9164
1,Augsburg,Bayern Munich,0-2,0.0884,1-2,0.0874,0-3,0.081,0.9942,2.8057
2,Augsburg,Borussia Dortmund,1-1,0.1094,1-2,0.0927,0-1,0.0848,1.1021,1.9709
3,Augsburg,Borussia Monchengladbach,1-1,0.1273,2-1,0.0905,1-2,0.0805,1.5085,1.3425
4,Augsburg,Eintracht Frankfurt,1-1,0.1266,1-2,0.0905,2-1,0.077,1.3563,1.5522
5,Augsburg,Elversberg,1-1,0.137,1-0,0.1317,0-0,0.1099,1.4398,0.8907
6,Augsburg,Freiburg,1-1,0.1322,1-2,0.0855,2-1,0.0844,1.3924,1.4269
7,Augsburg,Hamburger SV,1-1,0.136,1-0,0.0931,0-0,0.0886,1.4469,1.1382
8,Augsburg,Hoffenheim,1-1,0.1242,1-2,0.0834,2-1,0.0822,1.549,1.5899
9,Augsburg,Koln,1-1,0.1351,2-1,0.0968,1-0,0.0868,1.5293,1.1993
10,Augsburg,Mainz,1-1,0.1367,2-1,0.0856,0-0,0.0828,1.3049,1.3565
11,Augsburg,Paderborn,1-0,0.1447,1-1,0.1305,2-0,0.1141,1.5001,0.7976
12,Augsburg,RB Leipzig,1-1,0.1174,1-2,0.0914,0-1,0.0814,1.2021,1.7713
13,Augsburg,Schalke,1-1,0.1264,2-0,0.0991,1-0,0.0959,1.7501,1.0401
14,Augsburg,Stuttgart,1-1,0.1211,1-2,0.0979,0-1,0.0758,1.2602,1.772
15,Augsburg,Union Berlin,1-1,0.1393,0-0,0.0943,1-0,0.0919,1.3268,1.1742
16,Augsburg,Werder Bremen,1-1,0.127,1-0,0.0894,2-1,0.0888,1.4849,1.2305
17,Bayer Leverkusen,Augsburg,2-0,0.1099,2-1,0.0971,1-1,0.0873,2.356,0.8894
18,Bayer Leverkusen,Bayern Munich,1-2,0.0874,1-1,0.0849,2-2,0.0718,1.6378,2.0873
19,Bayer Leverkusen,Borussia Dortmund,1-1,0.102,2-1,0.0953,1-2,0.0744,1.8946,1.4866
20,Bayer Leverkusen,Borussia Monchengladbach,2-0,0.0946,2-1,0.0929,1-1,0.0894,2.4192,1.019
21,Bayer Leverkusen,Eintracht Frankfurt,2-1,0.0964,1-1,0.0958,2-0,0.0841,2.3123,1.1545
22,Bayer Leverkusen,Elversberg,2-0,0.1263,3-0,0.1084,1-0,0.1007,2.4847,0.6939
23,Bayer Leverkusen,Freiburg,2-0,0.095,2-1,0.0947,1-1,0.0894,2.3624,1.0353
24,Bayer Leverkusen,Hamburger SV,2-0,0.1189,2-1,0.097,1-0,0.0926,2.2236,0.8407
25,Bayer Leverkusen,Hoffenheim,2-1,0.0921,2-0,0.0797,3-1,0.0784,2.517,1.1552
26,Bayer Leverkusen,Koln,2-0,0.1026,2-1,0.0948,3-0,0.08,2.5202,0.91
27,Bayer Leverkusen,Mainz,1-1,0.1031,2-0,0.1003,2-1,0.0993,2.1155,0.9911
28,Bayer Leverkusen,Paderborn,2-0,0.1349,3-0,0.1159,1-0,0.1005,2.5684,0.6239
29,Bayer Leverkusen,RB Leipzig,1-1,0.1125,2-1,0.0956,2-0,0.0725,1.9351,1.3125
30,Bayer Leverkusen,Schalke,2-0,0.1101,3-0,0.1032,2-1,0.0871,2.8569,0.787
31,Bayer Leverkusen,Stuttgart,1-1,0.099,2-1,0.0927,2-0,0.0705,2.1132,1.3637
32,Bayer Leverkusen,Union Berlin,2-0,0.1028,1-1,0.1008,2-1,0.0946,2.1644,0.9231
