,season_id,team,previous_league_level,promoted,previous_league_position,previous_league_points,previous_league_ppg,previous_league_goal_difference,previous_league_goals,previous_league_goals_against,previous_league_gf_per_match,previous_league_ga_per_match
0,2026,Schalke,2,1,1,70,2.06,19,50,31,1.4705882352941178,0.9117647058823529
1,2026,Elversberg,2,1,2,62,1.82,25,64,39,1.8823529411764706,1.1470588235294117
2,2026,Paderborn,2,1,3,62,1.82,14,59,45,1.7352941176470589,1.3235294117647058
3,2025,Köln,2,1,1,61,1.79,15,53,38,1.5588235294117647,1.1176470588235294
4,2025,Hamburger SV,2,1,2,59,1.74,34,78,44,2.2941176470588234,1.2941176470588236
5,2024,St. Pauli,2,1,1,69,2.03,26,62,36,1.8235294117647058,1.0588235294117647
6,2024,Holstein Kiel,2,1,2,68,2.0,26,65,39,1.911764705882353,1.1470588235294117
7,2023,Heidenheim,2,1,1,67,1.97,31,67,36,1.9705882352941178,1.0588235294117647
8,2023,Darmstadt,2,1,2,67,1.97,17,50,33,1.4705882352941178,0.9705882352941176
9,2022,Schalke 04,2,1,1,65,1.91,28,72,44,2.1176470588235294,1.2941176470588236
10,2022,Werder Bremen,2,1,2,63,1.85,22,65,43,1.911764705882353,1.2647058823529411
11,2021,Bochum,2,1,1,67,1.97,27,66,39,1.9411764705882353,1.1470588235294117
12,2021,Greuther Furth,2,1,2,64,1.88,25,69,44,2.0294117647058822,1.2941176470588236
